Full Name,Status,#,Post Name,Category,Employee Category,Practice Group,Team,Team Code,Location
Katie Berry,,3884,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Adonis McIntosh,,9686,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,London
Gwen Maldonado,,4901,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,Bristol
Javier Crosby,,4249,IT Training Manager,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Keily Larson,,1811,Legal Secretary,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Bristol
Rafael Carr,,4753,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Advisory,",UK - PA Support,400,Bristol
Rowan Peterson,,6925,Chief of Staff,Business Operations & Mgt,UK - Firm Management,"UK - Operations,",UK - OPS,5000,London
Santiago Ballard,,8706,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Alejandra Robbins,,8215,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,London
Finnegan Beard,,9647,Senior Legal Engineer,OC Solutions,UK - Business Services,"UK - OC Solutions,",UK - Operations,6450,London
Ezra McCormick,,4527,PA,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,London
Jasiah Beltran,,10541,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Kaydence McFarland,,5579,Senior PA – Resource Coordinator,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Dane Greer,,10497,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,Bristol
Reina Calderon,,6897,Senior Workflow Developer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Oakley Hunt,,10612,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Genevieve Hunt,,6711,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Jesus Brandt,,10347,Associate Director,Associate Director,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Loretta Snow,,7229,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Houston Frank,,3378,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,London
Dior Phan,,8266,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Maison Krueger,,8089,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Bristol
Kamari Khan,,5084,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Kendrick Soto,,11382,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Brynlee Doyle,,2979,Legal Director,Legal Director,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Kashton Choi,,9065,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Karla Bradley,,11393,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Richard Yates,,9183,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Charley Huang,,10958,Solutions Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Ayaan Barnes,,10528,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Liliana Adkins,,10946,Business Development Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,London
Kylo Frazier,,3524,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Octavia Phelps,,6704,Digital Channels Manager,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Hamza Montoya,,5092,Senior Service Desk Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Kamryn Carroll,,10893,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Reading
Oscar Rhodes,,10410,Immigration Advisor,Paralegal,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Tatum Randolph,,4799,Boardrooms Receptionist,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,London
Eugene David,,9659,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Haylee Larsen,,9658,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Brycen Humphrey,,5475,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Journi Burnett,,10177,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Davis Craig,,2288,Paralegal,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,Bristol
Brynn Montgomery,,7474,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Maximiliano Serrano,,9336,Legal Counsel,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Allie Castillo,,10131,Associate Director,Associate Director,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Kai Cano,,10545,Trainee Solicitor Secondment,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Egypt Strong,,8257,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Axl Beard,,9826,IT Operations Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Ezra Harris,,7365,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Samuel Russell,,5486,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Raelynn Shelton,,7263,Partner,Partner,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Leonel Williamson,,10831,IT Administrator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Catherine Potts,,4158,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Bristol
Alfred Miranda,,4200,Workplace Services Coordinator,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,London
Amina May,,5284,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Advisory,",UK - PA Support,400,London
Finley Fernandez,,10544,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,London
Amara Coleman,,11177,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Micah Leon,,449,Senior Legal Cashier,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Amora Joseph,,11429,IT Operations Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Kyle Barnett,,9325,Paralegal,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Harlow Gillespie,,9240,Senior Knowledge Lawyer,Knowledge,UK - Business Services,"UK - Knowledge,",UK - Knowledge,5900,London
Forest McKee,,5792,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Kori Caldwell,,6956,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Rylan Higgins,,10352,IT Applications Administrator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Leighton Salazar,,5374,IT Administrator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Brody Sullivan,,8340,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,London
Melanie Brooks,,5045,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Jordan Walter,,10558,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Reading
Penny Alexander,,8264,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Kingston Glass,,7057,E-Billing Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Clare Daugherty,,9648,Practice Group Marketing Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Turner Cain,,9875,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,Bristol
Kendra Saunders,,4930,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Kasen Stafford,,11178,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Bridget Santana,,9442,Work Acceptance Officer,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Mohamed Pace,,11461,Recruitment Advisor,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Giana York,,1029,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Leandro Mahoney,,7293,Document Specialist,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Bristol
Promise Colon,,10603,E-Billing Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Bruce Greene,,7212,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Selena Potts,,7835,Legal Cashier,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Alfred Gonzales,,7676,MI Analyst,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Hadley Ross,,8752,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Reading
Wesley Le,,4234,Application Architect,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Myla Blair,,8259,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Troy Cordova,,9660,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,Bristol
Florence Blackwell,,5563,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Marcellus Cabrera,,3033,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,Bristol
Daleyza Tyler,,9173,"Health, Safety and Wellbeing Strategy Manager",Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Emmitt Felix,,8273,Associate,Associate,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Paisleigh Gilbert,,10638,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,Bristol
Tobias Daniel,,4247,Senior Application Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Joy Camacho,,11385,Paralegal,Paralegal,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Tatum Schroeder,,5559,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Cameron Dean,,5529,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Ronan Graham,,9075,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Alaia Soto,,2973,Legal Director,Legal Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Barrett Stokes,,9506,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Miranda Raymond,,4478,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,London
Maurice Andersen,,6736,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Zoie Stuart,,10606,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Disputes and Risk,",UK - Property Disputes,200,Bristol
Dion Conner,,10418,Associate (Chartered Trade Mark Attorney),Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Alondra Larson,,8235,Client Knowledge Editor,Knowledge,UK - Business Services,"UK - Knowledge,",UK - Knowledge,5900,Bristol
Rafael Mason,,4362,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Sienna Schwartz,,4749,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Reading
Edwin Owen,,4060,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Mikayla Wilkinson,,3216,BSM Assistant,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,Bristol
Leonard Allen,,5530,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,Bristol
Riley Butler,,10616,Administrative Assistant,Jr PA / Admin Assistant,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Ryder Watts,,11502,International HR Data Manager,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Melissa Bravo,,9837,Trainee Solicitor Secondment,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Genesis Munoz,,10530,Trainee Solicitor Secondment,Trainee Solicitor,UK - Fee Earners,"UK - Disputes and Risk,",UK - Regulatory Disputes,200,London
Kehlani Lindsey,,3670,Senior Knowledge Lawyer,Knowledge,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - Professional Support,300,Bristol
Jayson Duran,,9676,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,Bristol
Willa Donaldson,,10761,IT Administrator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Canaan McKenzie,,11295,Paralegal,Paralegal,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Briar Farley,,2364,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Graysen Rosario,,10566,Senior PA,Sr PA / Document Spec / Exec PA,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,London
Louisa Barton,,5025,Revenue Controller,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,Bristol
Cassius Figueroa,,8341,Change Manager,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,London
Lilith Casey,,2362,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Armando Pennington,,9009,Associate,Associate,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,Bristol
Yareli Randall,,3912,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Trenton Rivers,,11442,Senior Business Analyst,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,London
Kiana Bridges,,10853,Boardrooms Receptionist,Workplace Services,UK - Business Services,"UK - Workplace Services,",UK - Workplace Services,6700,London
Mohammed Gomez,,9560,IT PA & Information Security Assistant,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Natalie Hart,,7131,Responsible Business Administrator,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Joel Mayer,,8090,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Ainhoa Armstrong,,7706,Head of Financial Control & Partnership Matters,Finance,UK - Business Services,"UK - Finance,",UK - Finance,5100,London
Grant Spears,,5531,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,Bristol
Isabela McCarty,,9576,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Blaise Wise,,10198,International IT Delivery Manager,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,London
Mira Dillon,,10399,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Alvin Nava,,10751,Practice Group Marketing Executive,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Scout Terry,,9584,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - PA Support,300,Bristol
Armani Lyons,,4121,Legal Director,Legal Director,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Kenzie Yu,,5532,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Bryant Smith,,5912,Advisory Operations Director,Operations Director,UK - Fee Earner Support,"UK - Advisory,",UK - Professional Support,400,London
Olivia Middleton,,9023,Internal Communications Business Partner,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Misael Landry,,8093,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Brynleigh Gibbs,,10898,Associate Director,Associate Director,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,London
Deacon Pham,,5959,Risk & Compliance Manager,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,Bristol
Raelyn Fitzgerald,,8245,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,Bristol
Peyton David,,9685,Trainee Solicitor,Trainee Solicitor,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,London
Haylee Beard,,4813,Partner,Partner,UK - Fee Earners,"UK - Advisory,",UK - Tax,400,London
Nathanael Stuart,,4095,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Stormi Stout,,2606,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Callahan Thornton,,6718,Trust Officer,Fee Earning Managers,UK - Fee Earners,"UK - Advisory,",UK - Pensions & Competition,400,Bristol
Haisley Montgomery,,4821,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Maximiliano White,,5275,Knowledge Lawyer Director,Knowledge,UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - Professional Support,300,Bristol
Layla York,,10456,IT Service Desk Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Leandro Stein,,11179,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Leilany Oliver,,1277,Knowledge Lawyer Director,Knowledge,UK - Fee Earner Support,"UK - Advisory,",UK - Professional Support,400,Bristol
Karson Gomez,,10193,Senior Associate (Australian Qualified),Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Natalie Briggs,,10133,Applications Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Case Ellison,,9243,Senior Paralegal,Paralegal,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Raina Wiggins,,5533,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Azariah Jefferson,,5128,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Disputes and Risk,",UK - PA Support,200,London
Julieta Meyers,,4198,CRM Manager,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Julien Wagner,,7698,Junior IT Trainer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Maeve Costa,,8362,Business Analyst,Change Function,UK - Business Services,"UK - Change Function,",UK - Change Function,6850,Bristol
Kenji Villegas,,9926,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,London
Jessie Jacobs,,7299,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Advisory,",UK - Human Capital,400,London
Bryan Ali,,2194,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,London
Zelda Rhodes,,8318,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Construction Disputes,200,London
Titus Bernal,,11299,Associate,Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Emmeline Barr,,7138,IT Meeting Room Technology Support Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,London
Harley Lynn,,9118,Legal Director,Legal Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Samira Whitney,,10844,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,Bristol
Jeffery Roach,,10538,Trainee Solicitor Secondment,Trainee Solicitor,UK - Business Services,"UK - OC Solutions,",UK - Operations,6450,Bristol
Lyanna Spencer,,4771,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Ace Best,,5698,Senior Associate (Chartered Trade Mark Attorney),Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Lexie Anthony,,7412,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - Restructuring and Insolvency,200,London
Shiloh Powers,,7444,Legal Director,Legal Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Michelle Huffman,,4819,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Chris Conrad,,2808,Internal Communications Manager,Marketing & Sales,UK - Business Services,"UK - Marketing & Sales,",UK - Marketing & Sales,6600,Bristol
Bexley Buchanan,,1549,Legal Director,Legal Director,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Enrique Bauer,,5648,IT Service Desk Engineer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Haley Avery,,9167,Paralegal,Paralegal,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Jakari Skinner,,11180,Solicitor Apprentice,Solicitor Apprentice (UK),UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,London
Mara Sutton,,7450,IT Administrator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Warren Morris,,4486,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Genesis Barber,,8964,Plots Administrative Assistant,Legal Support & Mgt (Plots),UK - Fee Earner Support,"UK - Projects, Real Estate & Finance,",UK - Professional Support,300,Bristol
Solomon Edwards,,4264,Document Specialist Supervisor,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,London
Ivy Vaughan,,11320,IT Training Co-ordinator,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Castiel Wheeler,,6417,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,Bristol
Sydney Baldwin,,4693,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,Bristol
Jaiden York,,6519,Head of Advisory Knowledge,Knowledge,UK - Business Services,"UK - Knowledge,",UK - Knowledge,5900,London
Milan Brooks,,8987,Workflow Developer,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Jordan Tran,,4302,People Development Manager,Human Resources,UK - Business Services,"UK - Human Resources,",UK - Human Resources,5400,Bristol
Kylie Hogan,,3444,Partner,Partner,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,Bristol
Sonny Mayo,,5541,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Aarya Juarez,,8192,IT Operations Engineer - Virtualisation Specialist,Information Technology,UK - Business Services,"UK - I&T Tech Services,",UK - Information Technology,5200,Bristol
Joaquin Pierce,,3870,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Banking,300,Reading
Arabella Murillo,,4699,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Real Estate,300,London
Lance Kennedy,,11125,Senior AML Officer,Risk & Compliance,UK - Business Services,"UK - Risk & Compliance,",UK - Risk & Compliance,6100,London
Brianna Nielsen,,3676,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Tru Hunter,,4147,Associate Director,Associate Director,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Construction Planning and Environment,300,Bristol
Khloe Vargas,,9782,Senior Vice President - International,Business Operations & Mgt,US - Operations,"US - Firm Management USA,",US - Operations,6900,New York
Ryker Steele,,10908,Associate,Associate,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
Rylie George,,4376,Legal Secretary,Central Business Support,UK - Business Services,"UK - Business Support Services,",UK - Business Support,5700,London
Mark Roman,,6567,Associate Director,Associate Director,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Astrid Barnett,,7019,PA,PA / Legal Secretary,UK - Fee Earner Support,"UK - Business Transactions,",UK - PA Support,100,Bristol
Stephen Truong,,7958,Senior Associate,Senior Associate,UK - Fee Earners,"UK - Projects, Real Estate & Finance,",UK - Projects,300,Bristol
Judith Elliott,,9114,Partner,Partner,UK - Fee Earners,"UK - Disputes and Risk,",UK - IP Disputes,200,London
Blake McKay,,9849,Partner,Partner,UK - Fee Earners,"UK - Business Transactions,",UK - Financial Institutions Group (FIG),100,London
Leanna Horne,,10152,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,","UK - M&A, Corp Finance and PE",100,London
Zev Santana,,10403,Associate,Associate,UK - Fee Earners,"UK - Business Transactions,",UK - Commercial,100,Bristol
Myra Sutton,,7847,Associate Director,Associate Director,UK - Fee Earners,"UK - Disputes and Risk,",UK - Commercial Disputes,200,London
